"Institute New Combined","Institute","(Other) EU","Great Britain","Ireland","Non-EU","Northern Ireland","Unknown","Row_Total"
"Atlantic Technological University","ATU Donegal",20,0,2850,190,55,0,3125
"Atlantic Technological University","ATU Galway-Mayo",125,10,5585,165,5,0,5890
"Atlantic Technological University","ATU Sligo",105,10,3105,165,25,0,3410
"Atlantic Technological University_TOTAL",,250,20,11540,525,90,0,12425
"Dublin City University","Dublin City University",535,120,13735,1035,20,0,15450
"Dublin City University_TOTAL",,535,120,13735,1035,20,0,15450
"Dun Laoghaire Institute of Art, Design and Technology","Dun Laoghaire Institute of Art, Design and Technology",75,0,1820,35,10,0,1940
"Dun Laoghaire Institute of Art, Design and Technology_TOTAL",,75,0,1820,35,10,0,1940
"Dundalk IT","Dundalk IT",175,25,3115,495,195,0,4005
"Dundalk IT_TOTAL",,175,25,3115,495,195,0,4005
"Mary Immaculate College, Limerick","Mary Immaculate College, Limerick",20,0,3850,40,0,0,3915
"Mary Immaculate College, Limerick_TOTAL",,20,0,3850,40,0,0,3915
"Maynooth University","Maynooth University",170,15,11790,640,20,0,12640
"Maynooth University_TOTAL",,170,15,11790,640,20,0,12640
"Munster Technological University","MTU Cork",80,10,8025,250,10,0,8375
"Munster Technological University","MTU Kerry",15,0,1865,265,0,0,2145
"Munster Technological University_TOTAL",,95,15,9885,515,10,0,10520
"National College of Art and Design","National College of Art and Design",35,5,1085,35,5,0,1165
"National College of Art and Design_TOTAL",,35,5,1085,35,5,0,1165
"Royal College of Surgeons","Royal College of Surgeons",55,25,1000,1915,5,0,3005
"Royal College of Surgeons_TOTAL",,55,25,1000,1915,5,0,3005
"South East Technological University","SETU Carlow",105,5,3485,350,5,0,3950
"South East Technological University","SETU Waterford",65,0,6300,250,0,0,6620
"South East Technological University_TOTAL",,170,10,9785,600,5,0,10570
"St. Angela's College of Home Economics, Sligo","St. Angelas College of Home Economics, Sligo",0,0,1105,5,5,0,1115
"St. Angela's College of Home Economics, Sligo_TOTAL",,0,0,1105,5,5,0,1115
"Technological University Dublin","TU Dublin Blanchardstown",25,0,2465,35,0,0,2530
"Technological University Dublin","TU Dublin City",390,45,11780,1090,5,0,13305
"Technological University Dublin","TU Dublin Tallaght",40,0,2765,70,5,0,2880
"Technological University Dublin_TOTAL",,455,50,17010,1195,5,0,18715
"Technological University of the Shannon","TUS Athlone",75,5,3040,380,0,0,3500
"Technological University of the Shannon","TUS Limerick",25,5,5435,400,0,0,5860
"Technological University of the Shannon_TOTAL",,100,5,8475,780,5,0,9360
"Trinity College Dublin","Trinity College Dublin",1255,310,12435,3680,285,0,17965
"Trinity College Dublin_TOTAL",,1255,310,12435,3680,285,0,17965
"University College Cork","University College Cork",555,70,15755,2635,30,0,19045
"University College Cork_TOTAL",,555,70,15755,2635,30,0,19045
"University College Dublin","University College Dublin",1050,130,19690,4805,145,0,25815
"University College Dublin_TOTAL",,1050,130,19690,4805,145,0,25815
"University of Galway","University of Galway",405,35,13350,2450,120,0,16355
"University of Galway_TOTAL",,405,35,13350,2450,120,0,16355
"University of Limerick","University of Limerick",305,30,13040,1580,20,0,14970
"University of Limerick_TOTAL",,305,30,13040,1580,20,0,14970
"TOTAL","TOTAL",5705,855,168465,22960,980,0,198970
