"Institute New Combined","Institute","(Other) EU","Great Britain","Ireland","Non-EU","Northern Ireland","Unknown","Row_Total"
"Atlantic Technological University","ATU Donegal",10,0,2830,215,95,0,3155
"Atlantic Technological University","ATU Galway-Mayo",95,15,5610,140,15,0,5880
"Atlantic Technological University","ATU Sligo",15,20,3045,185,20,0,3285
"Atlantic Technological University_TOTAL",,120,35,11490,540,130,0,12320
"Dublin City University","Dublin City University",315,45,13040,615,0,170,14185
"Dublin City University_TOTAL",,315,45,13040,615,0,170,14185
"Dun Laoghaire Institute of Art, Design and Technology","Dun Laoghaire Institute of Art, Design and Technology",45,5,1895,50,15,0,2015
"Dun Laoghaire Institute of Art, Design and Technology_TOTAL",,45,5,1895,50,15,0,2015
"Dundalk IT","Dundalk IT",5,5,3335,480,220,0,4040
"Dundalk IT_TOTAL",,5,5,3335,480,220,0,4040
"Mary Immaculate College, Limerick","Mary Immaculate College, Limerick",15,5,3890,75,0,0,3985
"Mary Immaculate College, Limerick_TOTAL",,15,5,3890,75,0,0,3985
"Maynooth University","Maynooth University",80,35,10515,620,20,0,11265
"Maynooth University_TOTAL",,80,35,10515,620,20,0,11265
"Munster Technological University","MTU Cork",45,5,8110,275,5,0,8440
"Munster Technological University","MTU Kerry",15,5,2095,355,0,0,2465
"Munster Technological University_TOTAL",,60,10,10200,630,10,0,10905
"National College of Art and Design","National College of Art and Design",35,15,980,45,10,0,1075
"National College of Art and Design_TOTAL",,35,15,980,45,10,0,1075
"Royal College of Surgeons","Royal College of Surgeons",50,80,900,1780,5,0,2815
"Royal College of Surgeons_TOTAL",,50,80,900,1780,5,0,2815
"South East Technological University","SETU Carlow",60,10,4085,455,10,0,4615
"South East Technological University","SETU Waterford",115,35,6530,370,0,0,7050
"South East Technological University_TOTAL",,170,45,10610,825,10,0,11665
"St. Angela's College of Home Economics, Sligo","St. Angelas College of Home Economics, Sligo",0,0,900,10,0,0,910
"St. Angela's College of Home Economics, Sligo_TOTAL",,0,0,900,10,0,0,910
"Technological University Dublin","TU Dublin Blanchardstown",5,0,2230,60,0,0,2295
"Technological University Dublin","TU Dublin City",190,35,12050,1315,5,45,13640
"Technological University Dublin","TU Dublin Tallaght",25,5,2780,95,0,0,2905
"Technological University Dublin_TOTAL",,215,40,17060,1470,5,45,18840
"Technological University of the Shannon","TUS Athlone",50,0,3120,390,5,0,3565
"Technological University of the Shannon","TUS Limerick",10,5,5110,270,5,0,5400
"Technological University of the Shannon_TOTAL",,65,5,8230,665,5,0,8970
"Trinity College Dublin","Trinity College Dublin",815,315,11765,2740,340,0,15975
"Trinity College Dublin_TOTAL",,815,315,11765,2740,340,0,15975
"University College Cork","University College Cork",265,65,15275,2465,20,0,18095
"University College Cork_TOTAL",,265,65,15275,2465,20,0,18095
"University College Dublin","University College Dublin",675,125,18145,4010,205,0,23165
"University College Dublin_TOTAL",,675,125,18145,4010,205,0,23165
"University of Galway","University of Galway",330,95,13015,2370,105,0,15920
"University of Galway_TOTAL",,330,95,13015,2370,105,0,15920
"University of Limerick","University of Limerick",190,50,12035,1465,20,0,13760
"University of Limerick_TOTAL",,190,50,12035,1465,20,0,13760
"TOTAL","TOTAL",3450,975,163280,20850,1125,220,189905
