"Institute New Combined","Institute","(Other) EU","Great Britain","Ireland","Non-EU","Northern Ireland","Unknown","Row_Total"
"Atlantic Technological University","ATU Donegal",25,0,2920,975,35,0,3960
"Atlantic Technological University","ATU Galway-Mayo",145,5,5760,300,10,0,6220
"Atlantic Technological University","ATU Sligo",155,5,3310,215,20,0,3705
"Atlantic Technological University_TOTAL",,325,15,11995,1485,65,0,13885
"Dublin City University","Dublin City University",600,25,15150,1400,25,0,17205
"Dublin City University_TOTAL",,600,25,15150,1400,25,0,17205
"Dun Laoghaire Institute of Art, Design and Technology","Dun Laoghaire Institute of Art, Design and Technology",125,5,1795,85,0,0,2015
"Dun Laoghaire Institute of Art, Design and Technology_TOTAL",,125,5,1795,85,0,0,2015
"Dundalk IT","Dundalk IT",195,5,3400,395,160,0,4160
"Dundalk IT_TOTAL",,195,5,3400,395,160,0,4160
"Mary Immaculate College, Limerick","Mary Immaculate College, Limerick",20,0,3935,75,0,0,4030
"Mary Immaculate College, Limerick_TOTAL",,20,0,3935,75,0,0,4030
"Maynooth University","Maynooth University",235,15,12915,845,15,0,14025
"Maynooth University_TOTAL",,235,15,12915,845,15,0,14025
"Munster Technological University","MTU Cork",115,5,8490,240,5,0,8860
"Munster Technological University","MTU Kerry",30,0,2025,245,0,0,2305
"Munster Technological University_TOTAL",,150,10,10520,485,5,0,11170
"National College of Art and Design","National College of Art and Design",35,0,1130,45,5,0,1220
"National College of Art and Design_TOTAL",,35,0,1130,45,5,0,1220
"National College of Ireland","National College of Ireland",90,0,1570,2380,0,0,4040
"National College of Ireland_TOTAL",,90,0,1570,2380,0,0,4040
"Royal College of Surgeons","Royal College of Surgeons",60,40,1425,1940,10,0,3475
"Royal College of Surgeons_TOTAL",,60,40,1425,1940,10,0,3475
"South East Technological University","SETU Carlow",150,10,3400,365,0,5,3930
"South East Technological University","SETU Waterford",75,5,6390,340,5,0,6815
"South East Technological University_TOTAL",,225,10,9790,705,10,5,10745
"St. Angela's College of Home Economics, Sligo","St. Angelas College of Home Economics, Sligo",0,0,1165,0,5,0,1170
"St. Angela's College of Home Economics, Sligo_TOTAL",,0,0,1165,0,5,0,1170
"Technological University Dublin","TU Dublin Blanchardstown",40,5,2340,85,0,0,2470
"Technological University Dublin","TU Dublin City",365,40,12280,875,0,0,13560
"Technological University Dublin","TU Dublin Tallaght",45,5,2895,110,0,5,3060
"Technological University Dublin_TOTAL",,450,45,17515,1070,5,5,19085
"Technological University of the Shannon","TUS Athlone",45,0,3135,495,5,0,3680
"Technological University of the Shannon","TUS Limerick",55,0,5445,440,0,0,5940
"Technological University of the Shannon_TOTAL",,105,0,8580,930,5,0,9620
"Trinity College Dublin","Trinity College Dublin",1525,355,12645,4460,235,0,19225
"Trinity College Dublin_TOTAL",,1525,355,12645,4460,235,0,19225
"University College Cork","University College Cork",695,60,15960,3305,30,0,20055
"University College Cork_TOTAL",,695,60,15960,3305,30,0,20055
"University College Dublin","University College Dublin",1345,85,20020,5675,120,5,27255
"University College Dublin_TOTAL",,1345,85,20020,5675,120,5,27255
"University of Galway","University of Galway",540,60,13365,3075,135,0,17175
"University of Galway_TOTAL",,540,60,13365,3075,135,0,17175
"University of Limerick","University of Limerick",400,35,13525,2050,25,0,16030
"University of Limerick_TOTAL",,400,35,13525,2050,25,0,16030
"TOTAL","TOTAL",7125,770,176395,30405,855,25,215580
