"Institute New Combined","Institute","(Other) EU","Great Britain","Ireland","Non-EU","Northern Ireland","Unknown","Row_Total"
"Atlantic Technological University","ATU Donegal",15,0,2820,370,35,0,3245
"Atlantic Technological University","ATU Galway-Mayo",135,10,5640,235,5,0,6020
"Atlantic Technological University","ATU Sligo",130,5,3180,190,25,0,3535
"Atlantic Technological University_TOTAL",,285,15,11640,795,70,0,12800
"Dublin City University","Dublin City University",605,100,14140,1185,25,20,16075
"Dublin City University_TOTAL",,605,100,14140,1185,25,20,16075
"Dun Laoghaire Institute of Art, Design and Technology","Dun Laoghaire Institute of Art, Design and Technology",95,0,1800,40,5,0,1940
"Dun Laoghaire Institute of Art, Design and Technology_TOTAL",,95,0,1800,40,5,0,1940
"Dundalk IT","Dundalk IT",205,5,3190,490,175,0,4065
"Dundalk IT_TOTAL",,205,5,3190,490,175,0,4065
"Mary Immaculate College, Limerick","Mary Immaculate College, Limerick",15,0,3965,75,5,0,4060
"Mary Immaculate College, Limerick_TOTAL",,15,0,3965,75,5,0,4060
"Maynooth University","Maynooth University",220,25,12135,645,15,0,13040
"Maynooth University_TOTAL",,220,25,12135,645,15,0,13040
"Munster Technological University","MTU Cork",95,5,8110,190,10,0,8415
"Munster Technological University","MTU Kerry",20,0,1865,205,0,0,2095
"Munster Technological University_TOTAL",,115,5,9975,395,10,0,10510
"National College of Art and Design","National College of Art and Design",35,0,1090,30,5,0,1160
"National College of Art and Design_TOTAL",,35,0,1090,30,5,0,1160
"National College of Ireland","National College of Ireland",80,20,1755,2060,0,0,3915
"National College of Ireland_TOTAL",,80,20,1755,2060,0,0,3915
"Royal College of Surgeons","Royal College of Surgeons",55,30,1265,1930,5,0,3285
"Royal College of Surgeons_TOTAL",,55,30,1265,1930,5,0,3285
"South East Technological University","SETU Carlow",120,10,3525,355,5,0,4010
"South East Technological University","SETU Waterford",100,5,6075,335,5,0,6520
"South East Technological University_TOTAL",,225,10,9600,685,10,0,10530
"St. Angela's College of Home Economics, Sligo","St. Angelas College of Home Economics, Sligo",0,0,1105,0,0,0,1110
"St. Angela's College of Home Economics, Sligo_TOTAL",,0,0,1105,0,0,0,1110
"Technological University Dublin","TU Dublin Blanchardstown",30,0,2335,55,0,0,2425
"Technological University Dublin","TU Dublin City",360,40,11770,875,5,0,13050
"Technological University Dublin","TU Dublin Tallaght",35,5,2630,75,5,0,2750
"Technological University Dublin_TOTAL",,430,45,16735,1005,10,0,18225
"Technological University of the Shannon","TUS Athlone",55,5,3010,470,0,0,3540
"Technological University of the Shannon","TUS Limerick",50,0,5190,380,0,0,5625
"Technological University of the Shannon_TOTAL",,105,5,8200,850,0,0,9165
"Trinity College Dublin","Trinity College Dublin",1305,315,12550,4060,270,0,18505
"Trinity College Dublin_TOTAL",,1305,315,12550,4060,270,0,18505
"University College Cork","University College Cork",655,70,15585,3125,35,5,19475
"University College Cork_TOTAL",,655,70,15585,3125,35,5,19475
"University College Dublin","University College Dublin",1165,115,19885,5240,145,5,26555
"University College Dublin_TOTAL",,1165,115,19885,5240,145,5,26555
"University of Galway","University of Galway",460,35,13360,2705,130,0,16695
"University of Galway_TOTAL",,460,35,13360,2705,130,0,16695
"University of Limerick","University of Limerick",360,35,13065,1775,25,0,15260
"University of Limerick_TOTAL",,360,35,13065,1775,25,0,15260
"TOTAL","TOTAL",6415,835,171045,27095,955,25,206365
