"Institute New Combined","Institute","(Other) EU","Great Britain","Ireland","Non-EU","Northern Ireland","Unknown","Row_Total"
"Atlantic Technological University","ATU Donegal",10,0,3180,165,75,0,3435
"Atlantic Technological University","ATU Galway-Mayo",85,10,6085,130,10,0,6315
"Atlantic Technological University","ATU Sligo",15,5,3040,175,25,0,3260
"Atlantic Technological University_TOTAL",,110,15,12305,470,110,0,13005
"Dublin City University","Dublin City University",450,50,13300,555,5,75,14440
"Dublin City University_TOTAL",,450,50,13300,555,5,75,14440
"Dun Laoghaire Institute of Art, Design and Technology","Dun Laoghaire Institute of Art, Design and Technology",45,5,2020,35,15,0,2125
"Dun Laoghaire Institute of Art, Design and Technology_TOTAL",,45,5,2020,35,15,0,2125
"Dundalk IT","Dundalk IT",15,5,3435,400,250,0,4105
"Dundalk IT_TOTAL",,15,5,3435,400,250,0,4105
"Mary Immaculate College, Limerick","Mary Immaculate College, Limerick",10,5,4025,35,0,0,4080
"Mary Immaculate College, Limerick_TOTAL",,10,5,4025,35,0,0,4080
"Maynooth University","Maynooth University",80,25,11215,370,20,0,11705
"Maynooth University_TOTAL",,80,25,11215,370,20,0,11705
"Munster Technological University","MTU Cork",55,10,8555,220,5,0,8845
"Munster Technological University","MTU Kerry",30,0,2160,285,0,0,2475
"Munster Technological University_TOTAL",,80,15,10715,505,5,0,11325
"National College of Art and Design","National College of Art and Design",30,10,1055,40,10,0,1145
"National College of Art and Design_TOTAL",,30,10,1055,40,10,0,1145
"Royal College of Surgeons","Royal College of Surgeons",50,35,980,1865,10,0,2940
"Royal College of Surgeons_TOTAL",,50,35,980,1865,10,0,2940
"South East Technological University","SETU Carlow",45,15,4270,315,5,0,4650
"South East Technological University","SETU Waterford",130,30,6820,280,0,0,7265
"South East Technological University_TOTAL",,180,45,11090,595,5,0,11915
"St. Angela's College of Home Economics, Sligo","St. Angelas College of Home Economics, Sligo",0,0,985,10,0,0,1000
"St. Angela's College of Home Economics, Sligo_TOTAL",,0,0,985,10,0,0,1000
"Technological University Dublin","TU Dublin Blanchardstown",15,0,2465,55,0,0,2540
"Technological University Dublin","TU Dublin City",190,40,12460,1090,0,35,13820
"Technological University Dublin","TU Dublin Tallaght",25,5,3045,65,0,0,3145
"Technological University Dublin_TOTAL",,230,45,17975,1215,5,35,19505
"Technological University of the Shannon","TUS Athlone",40,0,3525,335,5,0,3900
"Technological University of the Shannon","TUS Limerick",15,5,5475,255,0,0,5750
"Technological University of the Shannon_TOTAL",,55,5,9000,585,5,0,9655
"Trinity College Dublin","Trinity College Dublin",850,330,12610,2585,355,0,16725
"Trinity College Dublin_TOTAL",,850,330,12610,2585,355,0,16725
"University College Cork","University College Cork",285,75,16185,1720,20,0,18285
"University College Cork_TOTAL",,285,75,16185,1720,20,0,18285
"University College Dublin","University College Dublin",680,135,19590,3075,195,0,23675
"University College Dublin_TOTAL",,680,135,19590,3075,195,0,23675
"University of Galway","University of Galway",470,310,13505,1530,115,0,15925
"University of Galway_TOTAL",,470,310,13505,1530,115,0,15925
"University of Limerick","University of Limerick",215,50,13050,1125,30,0,14460
"University of Limerick_TOTAL",,215,50,13050,1125,30,0,14460
"TOTAL","TOTAL",3830,1155,173035,16715,1155,115,196005
