"Institute New Combined","Institute","(Other) EU","Great Britain","Ireland","Non-EU","Northern Ireland","Unknown","Row_Total"
"Atlantic Technological University","ATU Donegal",5,5,3050,155,65,0,3280
"Atlantic Technological University","ATU Galway-Mayo",100,10,5985,120,5,0,6220
"Atlantic Technological University","ATU Sligo",25,5,2995,175,25,0,3225
"Atlantic Technological University_TOTAL",,135,20,12030,450,95,0,12730
"Dublin City University","Dublin City University",510,60,13540,865,20,0,14995
"Dublin City University_TOTAL",,510,60,13540,865,20,0,14995
"Dun Laoghaire Institute of Art, Design and Technology","Dun Laoghaire Institute of Art, Design and Technology",60,5,1920,25,15,0,2020
"Dun Laoghaire Institute of Art, Design and Technology_TOTAL",,60,5,1920,25,15,0,2020
"Dundalk IT","Dundalk IT",75,5,3275,395,230,0,3980
"Dundalk IT_TOTAL",,75,5,3275,395,230,0,3980
"Mary Immaculate College, Limerick","Mary Immaculate College, Limerick",30,5,4010,30,0,0,4080
"Mary Immaculate College, Limerick_TOTAL",,30,5,4010,30,0,0,4080
"Maynooth University","Maynooth University",150,20,11355,545,15,0,12085
"Maynooth University_TOTAL",,150,20,11355,545,15,0,12085
"Munster Technological University","MTU Cork",75,15,8370,310,10,0,8780
"Munster Technological University","MTU Kerry",15,0,2065,280,0,0,2365
"Munster Technological University_TOTAL",,90,20,10435,595,10,0,11145
"National College of Art and Design","National College of Art and Design",30,5,1045,35,5,0,1115
"National College of Art and Design_TOTAL",,30,5,1045,35,5,0,1115
"Royal College of Surgeons","Royal College of Surgeons",45,35,1005,1905,10,0,3000
"Royal College of Surgeons_TOTAL",,45,35,1005,1905,10,0,3000
"South East Technological University","SETU Carlow",45,10,4015,300,5,0,4375
"South East Technological University","SETU Waterford",25,10,6770,175,5,0,6985
"South East Technological University_TOTAL",,75,20,10785,475,5,0,11360
"St. Angela's College of Home Economics, Sligo","St. Angelas College of Home Economics, Sligo",0,0,1035,15,5,0,1060
"St. Angela's College of Home Economics, Sligo_TOTAL",,0,0,1035,15,5,0,1060
"Technological University Dublin","TU Dublin Blanchardstown",15,0,2645,50,0,0,2710
"Technological University Dublin","TU Dublin City",385,40,12210,1095,5,5,13735
"Technological University Dublin","TU Dublin Tallaght",25,5,2935,75,0,0,3040
"Technological University Dublin_TOTAL",,425,45,17790,1215,5,5,19485
"Technological University of the Shannon","TUS Athlone",20,0,3410,385,5,0,3820
"Technological University of the Shannon","TUS Limerick",20,5,5570,325,5,0,5925
"Technological University of the Shannon_TOTAL",,45,5,8980,710,5,0,9745
"Trinity College Dublin","Trinity College Dublin",1075,315,12475,3155,425,0,17440
"Trinity College Dublin_TOTAL",,1075,315,12475,3155,425,0,17440
"University College Cork","University College Cork",420,75,16040,2320,20,0,18870
"University College Cork_TOTAL",,420,75,16040,2320,20,0,18870
"University College Dublin","University College Dublin",940,130,19900,4395,155,0,25520
"University College Dublin_TOTAL",,940,130,19900,4395,155,0,25520
"University of Galway","University of Galway",415,80,13810,2110,120,0,16540
"University of Galway_TOTAL",,415,80,13810,2110,120,0,16540
"University of Limerick","University of Limerick",350,40,12985,1470,20,0,14865
"University of Limerick_TOTAL",,350,40,12985,1470,20,0,14865
"TOTAL","TOTAL",4865,890,172410,20710,1160,5,200035
